               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11218,            0.054748,            0.043264,            0.055945,             0.28333,             0.04086,           0.0096522,             0.10491,            0.038728,            0.041867,              0.0003,              0.0003,              0.0973
                   1,             0.11266,            0.052448,            0.042983,            0.078972,             0.12778,            0.066683,            0.015163,            0.098212,            0.038609,            0.040985,          0.00069653,          0.00069653,            0.093697
                   2,             0.10601,            0.049534,            0.040956,            0.062944,             0.20556,            0.057214,            0.014325,            0.090605,            0.038669,            0.039224,           0.0010891,           0.0010891,            0.090089
                   3,            0.095937,            0.058214,             0.03898,             0.12736,            0.091667,            0.050989,            0.015753,            0.085111,            0.038476,            0.036887,           0.0014777,           0.0014777,            0.086478
                   4,            0.088002,            0.057169,            0.036312,             0.10496,             0.14722,            0.061376,            0.019991,            0.081283,            0.039057,            0.034155,           0.0018624,           0.0018624,            0.082862
                   5,            0.085764,            0.065418,             0.03803,            0.076427,             0.29087,            0.080234,            0.028237,            0.077023,            0.039598,            0.032768,           0.0022431,           0.0022431,            0.079243
                   6,            0.086432,            0.057786,            0.034603,             0.13504,            0.097222,            0.083203,            0.036481,            0.072281,            0.040518,            0.030985,           0.0026198,           0.0026198,             0.07562
                   7,             0.08116,            0.066357,            0.035437,             0.18651,               0.125,             0.11841,             0.05199,             0.06914,            0.040702,            0.029311,           0.0029926,           0.0029926,            0.071993
                   8,            0.080087,             0.06665,            0.031875,             0.84261,               0.125,             0.14542,            0.063174,            0.067516,            0.040681,            0.027544,           0.0033614,           0.0033614,            0.068361
                   9,            0.074502,            0.063296,            0.030094,             0.87707,             0.16667,             0.19825,            0.088508,            0.066189,            0.041207,            0.025694,           0.0037263,           0.0037263,            0.064726
                  10,            0.072258,            0.062492,            0.029768,             0.84811,             0.16594,             0.20207,            0.061238,            0.065496,            0.040099,            0.024131,           0.0040871,           0.0040871,            0.061087
                  11,            0.067577,            0.058901,            0.027153,             0.19308,             0.44802,             0.25198,               0.106,             0.06337,             0.03809,            0.022874,           0.0044441,           0.0044441,            0.057444
                  12,            0.064049,            0.060968,             0.02535,             0.22928,              0.3877,             0.24875,              0.0823,            0.066089,            0.036142,               0.022,           0.0047971,           0.0047971,            0.053797
                  13,            0.065643,            0.064537,            0.026178,             0.32227,             0.46905,             0.35359,             0.13993,            0.061086,            0.036191,            0.021374,           0.0051461,           0.0051461,            0.050146
                  14,            0.066232,            0.062251,            0.026573,             0.32106,             0.37143,             0.32656,             0.12848,            0.067411,            0.032571,            0.020625,           0.0054911,           0.0054911,            0.046491
                  15,            0.066422,            0.056332,            0.024715,             0.40354,             0.40629,             0.43127,             0.15916,            0.066273,            0.032685,            0.019603,           0.0058322,           0.0058322,            0.042832
                  16,            0.066297,            0.050577,            0.024953,             0.44039,             0.40673,             0.40503,             0.17159,            0.063353,            0.033679,            0.019132,           0.0061694,           0.0061694,            0.039169
                  17,            0.062449,            0.054973,            0.022368,             0.40436,             0.39659,             0.39824,             0.16696,            0.072667,            0.032028,            0.017509,           0.0065025,           0.0065025,            0.035503
                  18,            0.067052,            0.050763,             0.02239,              0.8086,             0.38974,             0.43517,             0.19841,            0.066123,            0.034688,            0.017713,           0.0068318,           0.0068318,            0.031832
                  19,            0.067443,            0.051172,            0.019434,             0.70427,             0.42065,             0.39782,             0.16717,            0.069103,            0.031519,            0.018507,            0.007157,            0.007157,            0.028157
                  20,            0.062132,            0.054952,            0.021032,             0.64968,             0.35913,             0.38216,             0.17032,            0.072825,            0.029572,            0.018279,           0.0074783,           0.0074783,            0.024478
                  21,            0.070088,            0.052567,            0.019284,             0.18078,             0.43135,             0.21971,            0.066766,            0.068008,            0.028573,            0.018541,           0.0077956,           0.0077956,            0.020796
